,id,alternative_name,category,created_at,generation,name,platform_family,slug,updated_at,url,versions,checksum,platform_logo,abbreviation,websites,summary
0,339,Kids Computer Pico,1.0,1595808000,4.0,Sega Pico,3.0,sega-pico,1595808000,https://www.igdb.com/platforms/sega-pico,[456],6e867a5b-a071-fc7b-945b-a0622f64a4bc,,,,
1,123,WSC,5.0,1441486431,5.0,WonderSwan Color,,wonderswan-color,1633117158,https://www.igdb.com/platforms/wonderswan-color,[161],dfa0d2a0-40af-9920-335d-52eaf3965e69,261.0,,,
2,128,SuperGrafx,1.0,1457444849,4.0,PC Engine SuperGrafx,,supergrafx,1694459400,https://www.igdb.com/platforms/supergrafx,[166],960d1b6d-a0ee-c0e4-fac4-3032e0599fc6,364.0,supergrafx,[274],
3,129,Texas Instruments TI-99/4A,6.0,1459348522,,Texas Instruments TI-99,,ti-99,1591253241,https://www.igdb.com/platforms/ti-99,"[172, 427]",88fd2c72-62fa-c148-8985-7ba7f2f7aaed,540.0,ti-99,[218],
4,133,Magnavox Odyssey²,6.0,1477304835,,Odyssey 2 / Videopac G7000,,odyssey-2-slash-videopac-g7000,1664890233,https://www.igdb.com/platforms/odyssey-2-slash-videopac-g7000,[183],7508b4f8-021a-2595-b11f-4b2752c19f60,112.0,,,
5,134,,6.0,1479464068,,Acorn Electron,,acorn-electron,1479464076,https://www.igdb.com/platforms/acorn-electron,[184],1c95ac0b-904d-dc16-d260-305b87fd48e8,301.0,,,
6,237,,6.0,1573776000,,Sol-20,,sol-20,1591228800,https://www.igdb.com/platforms/sol-20,[354],c608e02f-1a92-d010-b161-4a368220bdfe,,,[219],
7,135,,2.0,1492121116,,Hyper Neo Geo 64,,hyper-neo-geo-64,1492121169,https://www.igdb.com/platforms/hyper-neo-geo-64,[186],02b31265-9293-a5a7-9d42-15c405136d59,117.0,,,
8,136,NGCD,1.0,1492121152,4.0,Neo Geo CD,,neo-geo-cd,1633117182,https://www.igdb.com/platforms/neo-geo-cd,[187],7af7680d-3a95-1f24-4521-ddf74f37cd77,281.0,,,
9,142,,1.0,1505597444,1.0,PC-50X Family,,pc-50x-family,1505597460,https://www.igdb.com/platforms/pc-50x-family,"[200, 205]",aa2b71db-b8b3-7f1d-ae4b-307a8cd6d072,132.0,,,
10,378,Super Boy,5.0,1620794404,4.0,Gamate,,gamate,1656435661,https://www.igdb.com/platforms/gamate,[497],dda22f38-ceab-8298-81ed-b44169d37d2d,627.0,,"[290, 305]",
11,144,,1.0,1505829367,,AY-3-8710,,ay-3-8710,1505829453,https://www.igdb.com/platforms/ay-3-8710,[207],b97470c9-5374-ead1-79d3-5577346c3217,,,,
12,381,,5.0,1623169275,9.0,Playdate,,playdate,1623169440,https://www.igdb.com/platforms/playdate,[501],37f62ded-b711-b460-8539-0b720d3fc66e,,,[278],
13,146,,1.0,1505829395,,AY-3-8605,,ay-3-8605,1505829454,https://www.igdb.com/platforms/ay-3-8605,[209],6f5f5071-d41b-1692-743d-32cd7222aea9,,,,
14,147,,1.0,1505829406,,AY-3-8606,,ay-3-8606,1505829454,https://www.igdb.com/platforms/ay-3-8606,[210],a821425d-eb6d-4575-9826-34529ca417e3,,,,
15,148,,1.0,1505829417,,AY-3-8607,,ay-3-8607,1505829454,https://www.igdb.com/platforms/ay-3-8607,[211],f1ffb221-5ed4-7ed0-0b76-d39af9d62fcc,,,,
16,149,PC-98,6.0,1509010307,,PC-9800 Series,,pc-9800-series,1693323561,https://www.igdb.com/platforms/pc-9800-series,[214],389c4e7f-16e7-1817-587e-da0722ae7309,366.0,,[371],
17,6,mswin,4.0,1297639288,,PC (Microsoft Windows),,win,1470063140,https://www.igdb.com/platforms/win,"[1, 13, 14, 15, 124, 513, 529, 530, 531, 532, 533, 534]",e99646c7-dc88-795a-de4f-c7e07bc0839b,670.0,PC,[2],
